	<yagoTheme_infoboxTermsToBeRedirected_de>	<hasGloss>	"Test The attribute facts of the Wikipedia infoboxes, split into terms, still to be redirected. INTERNAL"	
	<de/Actinium>	<infobox/de/aggregatzustand>	"fest"	
	<de/Actinium>	<infobox/de/atommasse>	"2270278"^^xsd:integer	2270278
	<de/Actinium>	<infobox/de/atommasse>	"227-##-##"^^xsd:date	227.0000
	<de/Actinium>	<infobox/de/atomradius>	"195"^^xsd:integer	195
	<de/Actinium>	<infobox/de/atomradius>	"195"	
	<de/Actinium>	<infobox/de/atomradius>	"195-##-##"^^xsd:date	195.0000
	<de/Actinium>	<infobox/de/aussehen>	"silbrig"	
	<de/Actinium>	<infobox/de/basizität>	<de/mäßig_basisch>	
	<de/Actinium>	<infobox/de/basizität>	"mäßig basisch"	
	<de/Actinium>	<infobox/de/cas>	"7440"^^xsd:integer	7440
	<de/Actinium>	<infobox/de/cas>	"-34"^^xsd:integer	-34
	<de/Actinium>	<infobox/de/cas>	"-8"^^xsd:integer	-8
	<de/Actinium>	<infobox/de/dichte>	"10.07"^^<g>	10.07
	<de/Actinium>	<infobox/de/dichte>	"3"^^xsd:integer	3
	<de/Actinium>	<infobox/de/elektronegativität>	"1.1"^^xsd:decimal	1.1
	<de/Actinium>	<infobox/de/elektronenkonfiguration>	<de/Radon>	
	<de/Actinium>	<infobox/de/elektronenkonfiguration>	<de/D-Orbital>	
	<de/Actinium>	<infobox/de/elektronenkonfiguration>	<de/S-Orbital>	
	<de/Actinium>	<infobox/de/elektronenkonfiguration>	"6"^^xsd:integer	6
	<de/Actinium>	<infobox/de/elektronenkonfiguration>	"1"^^xsd:integer	1
	<de/Actinium>	<infobox/de/elektronenkonfiguration>	"7"^^xsd:integer	7
	<de/Actinium>	<infobox/de/elektronenkonfiguration>	"2"^^xsd:integer	2
	<de/Actinium>	<infobox/de/elektronenkonfiguration>	"Rn"	
	<de/Actinium>	<infobox/de/elektronenkonfiguration>	"d"	
	<de/Actinium>	<infobox/de/elektronenkonfiguration>	"s"	
	<de/Actinium>	<infobox/de/gruppe>	"3"^^xsd:integer	3
	<de/Actinium>	<infobox/de/ionisierungsenergie>	"1170"^^xsd:integer	1170
	<de/Actinium>	<infobox/de/ionisierungsenergie>	"1170"	
	<de/Actinium>	<infobox/de/ionisierungsenergie>	"1170-##-##"^^xsd:date	1170.0000
	<de/Actinium>	<infobox/de/ionisierungsenergie>	"499"^^xsd:integer	499
	<de/Actinium>	<infobox/de/ionisierungsenergie>	"499"	
	<de/Actinium>	<infobox/de/ionisierungsenergie>	"499-##-##"^^xsd:date	499.0000
	<de/Actinium>	<infobox/de/isotope>	<de/Stunde>	
	<de/Actinium>	<infobox/de/isotope>	<de/Elektronen-Einfang>	
	<de/Actinium>	<infobox/de/isotope>	<de/Radium>	
	<de/Actinium>	<infobox/de/isotope>	<de/Alphastrahlung>	
	<de/Actinium>	<infobox/de/isotope>	<de/Francium>	
	<de/Actinium>	<infobox/de/isotope>	<de/Betastrahlung>	
	<de/Actinium>	<infobox/de/isotope>	<de/Thorium>	
	<de/Actinium>	<infobox/de/isotope>	<de/Tag>	
	<de/Actinium>	<infobox/de/isotope>	<de/Jahr>	
	<de/Actinium>	<infobox/de/isotope>	"224"^^xsd:integer	224
	<de/Actinium>	<infobox/de/isotope>	"0"^^xsd:integer	0
	<de/Actinium>	<infobox/de/isotope>	"2.9"^^xsd:decimal	2.9
	<de/Actinium>	<infobox/de/isotope>	"3"^^xsd:integer	3
	<de/Actinium>	<infobox/de/isotope>	"1"^^xsd:integer	1
	<de/Actinium>	<infobox/de/isotope>	"1403"^^xsd:integer	1403
	<de/Actinium>	<infobox/de/isotope>	"2"^^xsd:integer	2
	<de/Actinium>	<infobox/de/isotope>	"9100"^^xsd:integer	9100
	<de/Actinium>	<infobox/de/isotope>	"220"^^xsd:integer	220
	<de/Actinium>	<infobox/de/isotope>	"232"^^xsd:integer	232
	<de/Actinium>	<infobox/de/isotope>	"225"^^xsd:integer	225
	<de/Actinium>	<infobox/de/isotope>	"10"^^xsd:integer	10
	<de/Actinium>	<infobox/de/isotope>	"5935"^^xsd:integer	5935
	<de/Actinium>	<infobox/de/isotope>	"221"^^xsd:integer	221
	<de/Actinium>	<infobox/de/isotope>	"226"^^xsd:integer	226
	<de/Actinium>	<infobox/de/isotope>	"29.4"^^xsd:decimal	29.4
	<de/Actinium>	<infobox/de/isotope>	"640"^^xsd:integer	640
	<de/Actinium>	<infobox/de/isotope>	"1116"^^xsd:integer	1116
	<de/Actinium>	<infobox/de/isotope>	"5536"^^xsd:integer	5536
	<de/Actinium>	<infobox/de/isotope>	"222"^^xsd:integer	222
	<de/Actinium>	<infobox/de/isotope>	"227"^^xsd:integer	227
	<de/Actinium>	<infobox/de/isotope>	"100"^^xsd:integer	100
	<de/Actinium>	<infobox/de/isotope>	"21773"^^xsd:integer	21773
	<de/Actinium>	<infobox/de/isotope>	"45"^^xsd:integer	45
	<de/Actinium>	<infobox/de/isotope>	"223"^^xsd:integer	223
	<de/Actinium>	<infobox/de/isotope>	"228"^^xsd:integer	228
	<de/Actinium>	<infobox/de/isotope>	"-1"^^xsd:integer	-1
	<de/Actinium>	<infobox/de/isotope>	"22140.00"^^<s>	22140.00
	<de/Actinium>	<infobox/de/isotope>	"2127"^^xsd:integer	2127
	<de/Actinium>	<infobox/de/isotope>	"h"	
	<de/Actinium>	<infobox/de/isotope>	"ε"	
	<de/Actinium>	<infobox/de/isotope>	"<sup>224</sup>Ra"	
	<de/Actinium>	<infobox/de/isotope>	"α"	
	<de/Actinium>	<infobox/de/isotope>	"<sup>220</sup>Fr"	
	<de/Actinium>	<infobox/de/isotope>	"β<sup>−</sup>"	
	<de/Actinium>	<infobox/de/isotope>	"<sup>224</sup>Th"	
	<de/Actinium>	<infobox/de/isotope>	"d"	
	<de/Actinium>	<infobox/de/isotope>	"<sup>221</sup>Fr"	
	<de/Actinium>	<infobox/de/isotope>	"<sup>226</sup>Th"	
	<de/Actinium>	<infobox/de/isotope>	"<sup>226</sup>Ra"	
	<de/Actinium>	<infobox/de/isotope>	"<sup>222</sup>Fr"	
	<de/Actinium>	<infobox/de/isotope>	"a"	
	<de/Actinium>	<infobox/de/isotope>	"<sup>227</sup>Th"	
	<de/Actinium>	<infobox/de/isotope>	"<sup>223</sup>Fr"	
	<de/Actinium>	<infobox/de/isotope>	"<sup>228</sup>Th"	
	<de/Actinium>	<infobox/de/isotope>	"224-##-##"^^xsd:date	224.0000
	<de/Actinium>	<infobox/de/isotope>	"403-##-##"^^xsd:date	403.0000
	<de/Actinium>	<infobox/de/isotope>	"100-##-##"^^xsd:date	100.0000
	<de/Actinium>	<infobox/de/isotope>	"220-##-##"^^xsd:date	220.0000
	<de/Actinium>	<infobox/de/isotope>	"232-##-##"^^xsd:date	232.0000
	<de/Actinium>	<infobox/de/isotope>	"225-##-##"^^xsd:date	225.0000
	<de/Actinium>	<infobox/de/isotope>	"935-##-##"^^xsd:date	935.0000
	<de/Actinium>	<infobox/de/isotope>	"221-##-##"^^xsd:date	221.0000
	<de/Actinium>	<infobox/de/isotope>	"226-##-##"^^xsd:date	226.0000
	<de/Actinium>	<infobox/de/isotope>	"640-##-##"^^xsd:date	640.0000
	<de/Actinium>	<infobox/de/isotope>	"116-##-##"^^xsd:date	116.0000
	<de/Actinium>	<infobox/de/isotope>	"536-##-##"^^xsd:date	536.0000
	<de/Actinium>	<infobox/de/isotope>	"222-##-##"^^xsd:date	222.0000
	<de/Actinium>	<infobox/de/isotope>	"227-##-##"^^xsd:date	227.0000
	<de/Actinium>	<infobox/de/isotope>	"773-##-##"^^xsd:date	773.0000
	<de/Actinium>	<infobox/de/isotope>	"223-##-##"^^xsd:date	223.0000
	<de/Actinium>	<infobox/de/isotope>	"228-##-##"^^xsd:date	228.0000
	<de/Actinium>	<infobox/de/isotope>	"127-##-##"^^xsd:date	127.0000
	<de/Actinium>	<infobox/de/kovalenterradius>	"215"^^xsd:integer	215
	<de/Actinium>	<infobox/de/kovalenterradius>	"215"	
	<de/Actinium>	<infobox/de/kovalenterradius>	"215-##-##"^^xsd:date	215.0000
	<de/Actinium>	<infobox/de/kristallstruktur>	<de/Kubisches_Kristallsystem>	
	<de/Actinium>	<infobox/de/kristallstruktur>	"kubisch flächenzentriert"	
	<de/Actinium>	<infobox/de/massenanteil>	"6"^^xsd:integer	6
	<de/Actinium>	<infobox/de/massenanteil>	"10"^^xsd:integer	10
	<de/Actinium>	<infobox/de/massenanteil>	"14"^^xsd:integer	14
	<de/Actinium>	<infobox/de/massenzahl>	"227"^^xsd:integer	227
	<de/Actinium>	<infobox/de/massenzahl>	"227"	
	<de/Actinium>	<infobox/de/massenzahl>	"227-##-##"^^xsd:date	227.0000
	<de/Actinium>	<infobox/de/molaresvolumen>	"22.55"^^xsd:decimal	22.55
	<de/Actinium>	<infobox/de/molaresvolumen>	"10"^^xsd:integer	10
	<de/Actinium>	<infobox/de/molaresvolumen>	"6"^^xsd:integer	6
	<de/Actinium>	<infobox/de/name>	"Actinium"	
	<de/Actinium>	<infobox/de/normalpotential>	<de/Volt>	
	<de/Actinium>	<infobox/de/normalpotential>	"2.13"^^xsd:decimal	2.13
	<de/Actinium>	<infobox/de/normalpotential>	"3"^^xsd:integer	3
	<de/Actinium>	<infobox/de/normalpotential>	"V"	
	<de/Actinium>	<infobox/de/ordnungszahl>	"89"^^xsd:integer	89
	<de/Actinium>	<infobox/de/ordnungszahl>	"89"	
	<de/Actinium>	<infobox/de/oxidationszustände>	"3"^^xsd:integer	3
	<de/Actinium>	<infobox/de/periode>	"7"^^xsd:integer	7
	<de/Actinium>	<infobox/de/quellegefstkz>	"NV"	
	<de/Actinium>	<infobox/de/quelleghskz>	"NV"	
	<de/Actinium>	<infobox/de/radioaktiv>	"Ja"	
	<de/Actinium>	<infobox/de/reftempspezifischewärmekapazität>	"293"^^xsd:integer	293
	<de/Actinium>	<infobox/de/reftempspezifischewärmekapazität>	"293"	
	<de/Actinium>	<infobox/de/reftempspezifischewärmekapazität>	"293-##-##"^^xsd:date	293.0000
	<de/Actinium>	<infobox/de/schmelzpunktc>	"1050"^^xsd:integer	1050
	<de/Actinium>	<infobox/de/schmelzpunktc>	"1050"	
	<de/Actinium>	<infobox/de/schmelzpunktc>	"1050-##-##"^^xsd:date	1050.0000
	<de/Actinium>	<infobox/de/schmelzpunktk>	"1323"^^xsd:integer	1323
	<de/Actinium>	<infobox/de/schmelzpunktk>	"1323"	
	<de/Actinium>	<infobox/de/schmelzpunktk>	"1323-##-##"^^xsd:date	1323.0000
	<de/Actinium>	<infobox/de/schmelzwärme>	"14"^^xsd:integer	14
	<de/Actinium>	<infobox/de/schmelzwärme>	"14"	
	<de/Actinium>	<infobox/de/serie>	"Üm"	
	<de/Actinium>	<infobox/de/siedepunktc>	"3300"^^xsd:integer	3300
	<de/Actinium>	<infobox/de/siedepunktc>	"3300"	
	<de/Actinium>	<infobox/de/siedepunktk>	"3573"^^xsd:integer	3573
	<de/Actinium>	<infobox/de/siedepunktk>	"3573 K"	
	<de/Actinium>	<infobox/de/symbol>	"Ac"	
	<de/Actinium>	<infobox/de/verdampfungswärme>	"400"^^xsd:integer	400
	<de/Actinium>	<infobox/de/verdampfungswärme>	"400-##-##"^^xsd:date	400.0000
	<de/Actinium>	<infobox/de/wärmeleitfähigkeit>	"12"^^xsd:integer	12
	<de/Actinium>	<infobox/de/wärmeleitfähigkeit>	"12"	
	<de/The_Visitors>	<infobox/de/anzahltitel>	"9"^^xsd:integer	9
	<de/The_Visitors>	<infobox/de/anzahltitel>	"13"^^xsd:integer	13
	<de/The_Visitors>	<infobox/de/besetzung>	<de/Gesang>	
	<de/The_Visitors>	<infobox/de/besetzung>	<de/Agnetha_Fältskog>	
	<de/The_Visitors>	<infobox/de/besetzung>	<de/Anni-Frid_Lyngstad>	
	<de/The_Visitors>	<infobox/de/besetzung>	<de/Björn_Ulvaeus>	
	<de/The_Visitors>	<infobox/de/besetzung>	<de/E-Bass>	
	<de/The_Visitors>	<infobox/de/besetzung>	<de/Gitarre>	
	<de/The_Visitors>	<infobox/de/besetzung>	<de/Schlagzeug>	
	<de/The_Visitors>	<infobox/de/besetzung>	<de/Ola_Brunkert>	
	<de/The_Visitors>	<infobox/de/besetzung>	<de/Keyboard>	
	<de/The_Visitors>	<infobox/de/besetzung>	<de/Benny_Andersson>	
	<de/The_Visitors>	<infobox/de/besetzung>	"Gesang"	
	<de/The_Visitors>	<infobox/de/besetzung>	"Agnetha Fältskog"	
	<de/The_Visitors>	<infobox/de/besetzung>	"Anni-Frid Lyngstad"	
	<de/The_Visitors>	<infobox/de/besetzung>	"Björn Ulvaeus"	
	<de/The_Visitors>	<infobox/de/besetzung>	"Bass"	
	<de/The_Visitors>	<infobox/de/besetzung>	"Gitarre"	
	<de/The_Visitors>	<infobox/de/besetzung>	"Schlagzeug"	
	<de/The_Visitors>	<infobox/de/besetzung>	"Ola Brunkert"	
	<de/The_Visitors>	<infobox/de/besetzung>	"Keyboard"	
	<de/The_Visitors>	<infobox/de/besetzung>	"Benny Andersson"	
	<de/The_Visitors>	<infobox/de/genre>	<de/Popmusik>	
	<de/The_Visitors>	<infobox/de/genre>	"Pop"	
	<de/The_Visitors>	<infobox/de/jahr>	"30"^^xsd:integer	30
	<de/The_Visitors>	<infobox/de/jahr>	"1981"^^xsd:integer	1981
	<de/The_Visitors>	<infobox/de/jahr>	"30. November"	
	<de/The_Visitors>	<infobox/de/jahr>	"1981"	
	<de/The_Visitors>	<infobox/de/jahr>	"1981-##-##"^^xsd:date	1981.0000
	<de/The_Visitors>	<infobox/de/künstler>	<de/ABBA>	
	<de/The_Visitors>	<infobox/de/künstler>	"ABBA"	
	<de/The_Visitors>	<infobox/de/label>	<de/Polar_Music_International_AB>	
	<de/The_Visitors>	<infobox/de/label>	"Polar Music International AB"	
	<de/The_Visitors>	<infobox/de/label>	"Universal International"	
	<de/The_Visitors>	<infobox/de/laufzeit>	"37"^^xsd:integer	37
	<de/The_Visitors>	<infobox/de/laufzeit>	"39"^^<s>	39
	<de/The_Visitors>	<infobox/de/laufzeit>	"37m39s"	
	<de/The_Visitors>	<infobox/de/nächstes>	<de/The_Singles_–_The_First_10_Years>	
	<de/The_Visitors>	<infobox/de/nächstes>	"10"^^xsd:integer	10
	<de/The_Visitors>	<infobox/de/nächstes>	"1982"^^xsd:integer	1982
	<de/The_Visitors>	<infobox/de/nächstes>	"The Singles – The First 10 Years"	
	<de/The_Visitors>	<infobox/de/nächstes>	"1982-##-##"^^xsd:date	1982.0000
	<de/The_Visitors>	<infobox/de/produzent>	<de/Benny_Andersson>	
	<de/The_Visitors>	<infobox/de/produzent>	<de/Björn_Ulvaeus>	
	<de/The_Visitors>	<infobox/de/produzent>	"Benny Andersson"	
	<de/The_Visitors>	<infobox/de/produzent>	"Björn Ulvaeus"	
	<de/The_Visitors>	<infobox/de/studio>	<de/Polar_Music_Studios_Stockholm>	
	<de/The_Visitors>	<infobox/de/studio>	"Polar Music Studios Stockholm"	
	<de/The_Visitors>	<infobox/de/typ>	"Studio"	
	<de/The_Visitors>	<infobox/de/vorheriges>	<de/Super_Trouper>	
	<de/The_Visitors>	<infobox/de/vorheriges>	"1980"^^xsd:integer	1980
	<de/The_Visitors>	<infobox/de/vorheriges>	"Super Trouper"	
	<de/The_Visitors>	<infobox/de/vorheriges>	"1980-##-##"^^xsd:date	1980.0000
	<de/Aluminium>	<infobox/de/aggregatzustand>	"fest"	
	<de/Aluminium>	<infobox/de/atommasse>	"26981538"^^xsd:integer	26981538
	<de/Aluminium>	<infobox/de/atomradius>	"125"^^xsd:integer	125
	<de/Aluminium>	<infobox/de/atomradius>	"125"	
	<de/Aluminium>	<infobox/de/atomradius>	"125-##-##"^^xsd:date	125.0000
	<de/Aluminium>	<infobox/de/atomradiusberechnet>	"118"^^xsd:integer	118
	<de/Aluminium>	<infobox/de/atomradiusberechnet>	"118"	
	<de/Aluminium>	<infobox/de/atomradiusberechnet>	"118-##-##"^^xsd:date	118.0000
	<de/Aluminium>	<infobox/de/aussehen>	"silbrig"	
	<de/Aluminium>	<infobox/de/austrittsarbeit>	"4.06"^^xsd:decimal	4.06
	<de/Aluminium>	<infobox/de/austrittsarbeit>	"4.26"^^xsd:decimal	4.26
	<de/Aluminium>	<infobox/de/basizität>	<de/amphoter>	
